account_id,customer_id,credit_score,tenure,balance,num_products,has_credit_card,is_active_member,exited,complaints_last_year,monthly_transactions,average_transaction_value,last_login_days
2867825,100096,694,5,24958.19,2,0,0,0,0,7,165.58,49
1419610,100177,698,0,30715.5,2,1,0,0,1,2,29.45,24
5614226,100193,593,2,41149.85,2,0,1,0,0,13,51.29,5
5108603,100205,635,2,65563.62,1,1,1,0,0,8,129.62,0
4744854,100301,559,1,0,3,1,0,0,1,8,148.26,52
3341057,100425,622,7,0,1,1,0,1,3,10,92.34,57
2719583,100599,784,2,591.74,1,0,0,0,0,7,18.6,28
2458591,100708,630,2,35856.48,2,0,0,0,1,9,89.65,65
8078673,100716,665,9,306.18,1,0,1,0,2,0,91.01,1
1533224,100754,577,10,32728.65,2,1,1,0,1,1,11.86,1
1499914,100884,77.50%,2,0.00%,1,0,1,1,0,17,23.29,21
2571945,100909,546,5,0,2,1,1,0,0,10,27.34,0
4668136,101139,803,0,47218.97,2,0,1,0,0,10,269.06,13
4903402,101206,570,0,2068.95,2,0,1,0,1,5,78.74,0
9478454,101258,757,1,39482.71,3,1,1,0,0,20,86.81,0
1445199,101343,665,4,0,2,0,1,0,0,27,31.86,5
4335942,101429,734,3,22601.46,1,0,1,0,0,11,85.54,7
8038374,101533,850,2,30062.84,1,1,0,1,0,1,102.95,112
4698379,101640,716,10,23830.16,3,1,0,0,3,0,82.09,184
8536477,101657,655,8,2854.65,2,1,1,0,0,25,38.73,8
5667265,101773,850,6,78272.03,2,1,0,1,1,9,43.08,25
1109031,101885,489,3,109292.18,1,0,1,0,0,18,25.28,7
3678638,102260,535,0,29002.58,2,1,1,0,1,12,171.27,1
8090293,102303,578,0,25475.8,4,1,1,0,0,15,50.1,1
6708456,102593,686,4,36300.52,2,1,0,0,2,12,53.86,4
5661907,102689,358,0,0,2,1,1,0,1,29,18.32,3
3608513,102693,731,0,49976.49,1,1,1,0,1,13,38.34,3
4612365,102805,636,10,40942.98,3,0,0,1,0,4,80.39,15
6647119,102871,726,0,48944.24,3,1,1,0,0,29,109.57,8
2714803,102973,648,1,30581.2,2,1,1,0,1,24,138.68,0
2556017,103161,733,7,308.59,2,1,0,1,1,7,59.32,120
7374122,103402,745,2,19849.57,2,1,1,0,1,8,35.54,3
2622631,103468,737,1,24764.74,1,0,1,0,1,19,42.26,0
